resume_id,filename,category,model,semantic_alignment,n_recommendations,avg_score,top5_avg,top5_vs_next5_gap
BANKING/11262933.pdf,11262933.pdf,BANKING,ConFit v2,0.777736,15,0.8172,0.8294,0.0151
BANKING/11262933.pdf,11262933.pdf,BANKING,ColBERT,0.772991,15,0.609,0.7309,0.1339
BANKING/11262933.pdf,11262933.pdf,BANKING,CrossEncoder,0.73333,15,0.4098,0.4951,0.1148
BANKING/11262933.pdf,11262933.pdf,BANKING,Hybrid (RRF),0.736198,15,0.6479,0.9408,0.4254
BANKING/28989677.pdf,28989677.pdf,BANKING,ConFit v2,0.787625,15,0.825,0.8332,0.0093
BANKING/28989677.pdf,28989677.pdf,BANKING,ColBERT,0.790944,15,0.7412,0.8126,0.0894
BANKING/28989677.pdf,28989677.pdf,BANKING,CrossEncoder,0.800685,15,0.2631,0.2702,0.0095
BANKING/28989677.pdf,28989677.pdf,BANKING,Hybrid (RRF),0.790944,15,0.8183,0.9659,0.086
BANKING/33872500.pdf,33872500.pdf,BANKING,ConFit v2,0.710326,15,0.8071,0.8155,0.011
BANKING/33872500.pdf,33872500.pdf,BANKING,ColBERT,0.762044,15,0.7652,0.817,0.0626
BANKING/33872500.pdf,33872500.pdf,BANKING,CrossEncoder,0.713279,15,0.5595,0.772,0.238
BANKING/33872500.pdf,33872500.pdf,BANKING,Hybrid (RRF),0.765928,15,0.6425,0.9479,0.4437
BPO/19362586.pdf,19362586.pdf,BPO,ConFit v2,0.689645,15,0.7828,0.7917,0.0086
BPO/19362586.pdf,19362586.pdf,BPO,ColBERT,0.74901,15,0.7324,0.815,0.1098
BPO/19362586.pdf,19362586.pdf,BPO,CrossEncoder,0.731219,15,0.297,0.3353,0.0495
BPO/19362586.pdf,19362586.pdf,BPO,Hybrid (RRF),0.739772,15,0.7297,0.9661,0.2151
BPO/63158213.pdf,63158213.pdf,BPO,ConFit v2,0.845425,15,0.8358,0.8421,0.0076
BPO/63158213.pdf,63158213.pdf,BPO,ColBERT,0.85917,15,0.7899,0.8439,0.0574
BPO/63158213.pdf,63158213.pdf,BPO,CrossEncoder,0.846713,15,0.2936,0.3163,0.0329
BPO/63158213.pdf,63158213.pdf,BPO,Hybrid (RRF),0.867601,15,0.7507,0.9562,0.1261
BPO/89512321.pdf,89512321.pdf,BPO,ConFit v2,0.620078,15,0.8232,0.8432,0.0221
BPO/89512321.pdf,89512321.pdf,BPO,ColBERT,0.669553,15,0.8087,0.8776,0.0636
BPO/89512321.pdf,89512321.pdf,BPO,CrossEncoder,0.744473,15,0.3994,0.471,0.0617
BPO/89512321.pdf,89512321.pdf,BPO,Hybrid (RRF),0.724155,15,0.5804,0.7059,0.1763
BUSINESS-DEVELOPMENT/20633855.pdf,20633855.pdf,BUSINESS-DEVELOPMENT,ConFit v2,0.770843,15,0.8154,0.8222,0.0092
BUSINESS-DEVELOPMENT/20633855.pdf,20633855.pdf,BUSINESS-DEVELOPMENT,ColBERT,0.771869,15,0.7139,0.8334,0.1154
BUSINESS-DEVELOPMENT/20633855.pdf,20633855.pdf,BUSINESS-DEVELOPMENT,CrossEncoder,0.7792,15,0.3193,0.378,0.0818
BUSINESS-DEVELOPMENT/20633855.pdf,20633855.pdf,BUSINESS-DEVELOPMENT,Hybrid (RRF),0.783321,15,0.6926,0.9681,0.3601
BUSINESS-DEVELOPMENT/27004930.pdf,27004930.pdf,BUSINESS-DEVELOPMENT,ConFit v2,0.815637,15,0.8008,0.8079,0.0092
BUSINESS-DEVELOPMENT/27004930.pdf,27004930.pdf,BUSINESS-DEVELOPMENT,ColBERT,0.753783,15,0.6579,0.7725,0.1393
BUSINESS-DEVELOPMENT/27004930.pdf,27004930.pdf,BUSINESS-DEVELOPMENT,CrossEncoder,0.769463,15,0.4859,0.6662,0.2308
BUSINESS-DEVELOPMENT/27004930.pdf,27004930.pdf,BUSINESS-DEVELOPMENT,Hybrid (RRF),0.794843,15,0.6118,0.8049,0.2784
BUSINESS-DEVELOPMENT/32531824.pdf,32531824.pdf,BUSINESS-DEVELOPMENT,ConFit v2,0.76243,15,0.8044,0.8132,0.0109
BUSINESS-DEVELOPMENT/32531824.pdf,32531824.pdf,BUSINESS-DEVELOPMENT,ColBERT,0.745049,15,0.7913,0.8532,0.0745
BUSINESS-DEVELOPMENT/32531824.pdf,32531824.pdf,BUSINESS-DEVELOPMENT,CrossEncoder,0.786767,15,0.2705,0.2871,0.0228
BUSINESS-DEVELOPMENT/32531824.pdf,32531824.pdf,BUSINESS-DEVELOPMENT,Hybrid (RRF),0.75744,15,0.8203,0.985,0.0682
CHEF/16924102.pdf,16924102.pdf,CHEF,ConFit v2,0.792881,15,0.7967,0.8048,0.0108
CHEF/16924102.pdf,16924102.pdf,CHEF,ColBERT,0.789558,15,0.6458,0.824,0.19
CHEF/16924102.pdf,16924102.pdf,CHEF,CrossEncoder,0.784837,15,0.2579,0.2659,0.0082
CHEF/16924102.pdf,16924102.pdf,CHEF,Hybrid (RRF),0.779917,15,0.8668,0.9648,0.047
CHEF/24221960.pdf,24221960.pdf,CHEF,ConFit v2,0.749544,15,0.7967,0.8035,0.0075
CHEF/24221960.pdf,24221960.pdf,CHEF,ColBERT,0.736992,15,0.5272,0.673,0.1962
CHEF/24221960.pdf,24221960.pdf,CHEF,CrossEncoder,0.689701,15,0.4183,0.4784,0.0755
