run_id,algorithm,started_at,practice_category,simulator,metric_name,metric_value,canonical_subject
6bed8ad6-02a3-4670-9790-804408c9b42f,bkt_ema_epsilon_greedy,2026-08-24 08:57:13.918561+00:00,Engineering Mathematics,bkt_generative,concepts_touched,173.0,Engineering Mathematics
64387cd9-7afc-4ca8-8075-10eac4ce8639,bkt,2026-08-24 08:54:45.034046+00:00,Engineering Mathematics,irt_generative,concepts_touched,173.0,Engineering Mathematics
64387cd9-7afc-4ca8-8075-10eac4ce8639,bkt,2026-08-24 08:54:45.034046+00:00,Engineering Mathematics,irt_generative,mean_true_mastery,0.5210408914154928,Engineering Mathematics
64387cd9-7afc-4ca8-8075-10eac4ce8639,bkt,2026-08-24 08:54:45.034046+00:00,Engineering Mathematics,irt_generative,accuracy,0.5666501894875597,Engineering Mathematics
64387cd9-7afc-4ca8-8075-10eac4ce8639,bkt,2026-08-24 08:54:45.034046+00:00,Engineering Mathematics,irt_generative,n_asked,12138.0,Engineering Mathematics
1e13881a-5abf-43ff-9b85-6b197c7ea411,bkt,2026-08-24 08:54:13.480053+00:00,Engineering Mathematics,bkt_generative,n_asked,12004.0,Engineering Mathematics
1e13881a-5abf-43ff-9b85-6b197c7ea411,bkt,2026-08-24 08:54:13.480053+00:00,Engineering Mathematics,bkt_generative,accuracy,0.4109463512162612,Engineering Mathematics
1e13881a-5abf-43ff-9b85-6b197c7ea411,bkt,2026-08-24 08:54:13.480053+00:00,Engineering Mathematics,bkt_generative,mean_true_mastery,0.2979290266669858,Engineering Mathematics
1e13881a-5abf-43ff-9b85-6b197c7ea411,bkt,2026-08-24 08:54:13.480053+00:00,Engineering Mathematics,bkt_generative,concepts_touched,173.0,Engineering Mathematics
5a44f214-3fd7-4972-adb8-681473ad701c,ema_only,2026-08-24 08:51:52.478201+00:00,Engineering Mathematics,irt_generative,concepts_touched,120.0,Discrete Mathematics
5a44f214-3fd7-4972-adb8-681473ad701c,ema_only,2026-08-24 08:51:52.478201+00:00,Engineering Mathematics,irt_generative,n_asked,12229.0,Engineering Mathematics
5a44f214-3fd7-4972-adb8-681473ad701c,ema_only,2026-08-24 08:51:52.478201+00:00,Engineering Mathematics,irt_generative,accuracy,0.5709379344181863,Engineering Mathematics
5a44f214-3fd7-4972-adb8-681473ad701c,ema_only,2026-08-24 08:51:52.478201+00:00,Engineering Mathematics,irt_generative,mean_true_mastery,0.521214568092147,Engineering Mathematics
24782d01-c9d2-4b23-9289-a318541e1f5e,ema_only,2026-08-24 08:51:03.730602+00:00,Engineering Mathematics,bkt_generative,concepts_touched,119.0,Discrete Mathematics
24782d01-c9d2-4b23-9289-a318541e1f5e,ema_only,2026-08-24 08:51:03.730602+00:00,Engineering Mathematics,bkt_generative,mean_true_mastery,0.2994324838512173,Discrete Mathematics
24782d01-c9d2-4b23-9289-a318541e1f5e,ema_only,2026-08-24 08:51:03.730602+00:00,Engineering Mathematics,bkt_generative,accuracy,0.4132903225806452,Discrete Mathematics
24782d01-c9d2-4b23-9289-a318541e1f5e,ema_only,2026-08-24 08:51:03.730602+00:00,Engineering Mathematics,bkt_generative,n_asked,7750.0,Discrete Mathematics
b36730b0-e266-4091-a2f8-dbb4aafb07ca,rule_weakest_topic,2026-08-24 08:48:22.793911+00:00,Core CS (Systems & Theory),bkt_generative,n_asked,4.0,Software Engineering
b36730b0-e266-4091-a2f8-dbb4aafb07ca,rule_weakest_topic,2026-08-24 08:48:22.793911+00:00,Core CS (Systems & Theory),bkt_generative,concepts_touched,1.0,Cybersecurity
b36730b0-e266-4091-a2f8-dbb4aafb07ca,rule_weakest_topic,2026-08-24 08:48:22.793911+00:00,Core CS (Systems & Theory),bkt_generative,mean_true_mastery,0.3,Cybersecurity
b36730b0-e266-4091-a2f8-dbb4aafb07ca,rule_weakest_topic,2026-08-24 08:48:22.793911+00:00,Core CS (Systems & Theory),bkt_generative,accuracy,0.3333333333333333,Cybersecurity
8f40f5e2-d8aa-49f1-a517-68dfda8835fc,rule_weakest_topic,2026-08-24 08:47:29.024585+00:00,Engineering Mathematics,irt_generative,concepts_touched,120.0,Discrete Mathematics
8f40f5e2-d8aa-49f1-a517-68dfda8835fc,rule_weakest_topic,2026-08-24 08:47:29.024585+00:00,Engineering Mathematics,irt_generative,mean_true_mastery,0.5225510941388274,Discrete Mathematics
8f40f5e2-d8aa-49f1-a517-68dfda8835fc,rule_weakest_topic,2026-08-24 08:47:29.024585+00:00,Engineering Mathematics,irt_generative,accuracy,0.583224902412171,Discrete Mathematics
8f40f5e2-d8aa-49f1-a517-68dfda8835fc,rule_weakest_topic,2026-08-24 08:47:29.024585+00:00,Engineering Mathematics,irt_generative,n_asked,9991.0,Discrete Mathematics
af8ca26b-de8e-4807-850e-63a997a374a6,rule_weakest_topic,2026-08-24 08:47:07.116856+00:00,Engineering Mathematics,bkt_generative,n_asked,9859.0,Discrete Mathematics
af8ca26b-de8e-4807-850e-63a997a374a6,rule_weakest_topic,2026-08-24 08:47:07.116856+00:00,Engineering Mathematics,bkt_generative,accuracy,0.3903954245143477,Engineering Mathematics
af8ca26b-de8e-4807-850e-63a997a374a6,rule_weakest_topic,2026-08-24 08:47:07.116856+00:00,Engineering Mathematics,bkt_generative,mean_true_mastery,0.27994199882309445,Engineering Mathematics
af8ca26b-de8e-4807-850e-63a997a374a6,rule_weakest_topic,2026-08-24 08:47:07.116856+00:00,Engineering Mathematics,bkt_generative,concepts_touched,173.0,Engineering Mathematics
a7fbe167-07df-48b5-a66a-86e1c5726b22,random,2026-08-24 08:44:46.401403+00:00,Engineering Mathematics,irt_generative,mean_true_mastery,0.5212918622650797,Discrete Mathematics
a7fbe167-07df-48b5-a66a-86e1c5726b22,random,2026-08-24 08:44:46.401403+00:00,Engineering Mathematics,irt_generative,accuracy,0.5652692231273594,Discrete Mathematics
a7fbe167-07df-48b5-a66a-86e1c5726b22,random,2026-08-24 08:44:46.401403+00:00,Engineering Mathematics,irt_generative,n_asked,10066.0,Discrete Mathematics
a7fbe167-07df-48b5-a66a-86e1c5726b22,random,2026-08-24 08:44:46.401403+00:00,Engineering Mathematics,irt_generative,concepts_touched,173.0,Engineering Mathematics
a4fa296a-a39d-4f5b-bd1b-9c031f2fa461,random,2026-08-24 08:44:25.363970+00:00,Core CS (Systems & Theory),bkt_generative,concepts_touched,172.0,Computer Networks
a4fa296a-a39d-4f5b-bd1b-9c031f2fa461,random,2026-08-24 08:44:25.363970+00:00,Core CS (Systems & Theory),bkt_generative,mean_true_mastery,0.3,System Software
a4fa296a-a39d-4f5b-bd1b-9c031f2fa461,random,2026-08-24 08:44:25.363970+00:00,Core CS (Systems & Theory),bkt_generative,accuracy,0.5,System Software
a4fa296a-a39d-4f5b-bd1b-9c031f2fa461,random,2026-08-24 08:44:25.363970+00:00,Core CS (Systems & Theory),bkt_generative,n_asked,4.0,System Software
60ef2a3d-899e-4883-a8b6-22df2e73042f,random,2026-08-24 08:44:24.956511+00:00,Engineering Mathematics,bkt_generative,n_asked,9930.0,Discrete Mathematics
60ef2a3d-899e-4883-a8b6-22df2e73042f,random,2026-08-24 08:44:24.956511+00:00,Engineering Mathematics,bkt_generative,concepts_touched,173.0,Engineering Mathematics
60ef2a3d-899e-4883-a8b6-22df2e73042f,random,2026-08-24 08:44:24.956511+00:00,Engineering Mathematics,bkt_generative,mean_true_mastery,0.3544424093263299,Engineering Mathematics
60ef2a3d-899e-4883-a8b6-22df2e73042f,random,2026-08-24 08:44:24.956511+00:00,Engineering Mathematics,bkt_generative,accuracy,0.44786494538232374,Engineering Mathematics
4a47d370-f319-4606-94f5-d39dc834fd89,bkt_ema_epsilon_greedy,2026-08-24 08:41:40.773348+00:00,Data Science & AI,irt_generative,n_asked,18278.0,Artificial Intelligence
4a47d370-f319-4606-94f5-d39dc834fd89,bkt_ema_epsilon_greedy,2026-08-24 08:41:40.773348+00:00,Data Science & AI,irt_generative,accuracy,0.626107889265784,Artificial Intelligence
4a47d370-f319-4606-94f5-d39dc834fd89,bkt_ema_epsilon_greedy,2026-08-24 08:41:40.773348+00:00,Data Science & AI,irt_generative,mean_true_mastery,0.5201762185482692,Artificial Intelligence
4a47d370-f319-4606-94f5-d39dc834fd89,bkt_ema_epsilon_greedy,2026-08-24 08:41:40.773348+00:00,Data Science & AI,irt_generative,concepts_touched,106.0,Artificial Intelligence
61f22011-25e2-4e71-ad6b-c0fc37f02919,bkt_ema_epsilon_greedy,2026-08-24 08:41:17.321285+00:00,Data Science & AI,bkt_generative,n_asked,1399.0,Operations Research
61f22011-25e2-4e71-ad6b-c0fc37f02919,bkt_ema_epsilon_greedy,2026-08-24 08:41:17.321285+00:00,Data Science & AI,bkt_generative,concepts_touched,106.0,Artificial Intelligence
61f22011-25e2-4e71-ad6b-c0fc37f02919,bkt_ema_epsilon_greedy,2026-08-24 08:41:17.321285+00:00,Data Science & AI,bkt_generative,mean_true_mastery,0.30301974163606377,Artificial Intelligence
